,Name,StandardSmiles
1966,"8-Benzyl-2-Hydroxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",O=C1N2C=C(c3ccc(O)cc3)N=C(Cc3ccccc3)C2=NC1(O)Cc1ccc(O)cc1
1967,"3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine",On1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21
1968,Uridine-Diphosphate-N-Acetylgalactosamine,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
1969,"4-[(4-Imidazo[1,2-a]Pyridin-3-Ylpyrimidin-2-Yl)Amino]Benzenesulfonamide",NS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1
1970,2-Bromoacetyl Group,O=C(O)CBr
1973,Malonate Ion,O=C(O)CC(=O)O
1974,"(S)-butane-1,3-diol",C[C@H](O)CCO
1975,Acetone Cyanohydrin,CC(C)(O)C#N
1976,(+)-Rutamarin alcohol,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)O[C@H](C(C)(C)O)C3
1977,7-Nitroindazole,O=[N+]([O-])c1cccc2c[nH]nc12
1978,Pyridoxine phosphate,Cc1ncc(COP(=O)(O)O)c(CO)c1O
1979,"Hexane-1,6-Diol",OCCCCCCO
1980,(R)-N-methyl-N-2-propynyl-1-indanamine,C#CCN(C)[C@@H]1CCc2ccccc21
1981,Metanitrophenyl-Alpha-D-Galactoside,O=[N+]([O-])c1cccc(O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c1
1982,"6,7-dioxo-5H-8-ribitylaminolumazine",O=c1[nH]c(=O)c2[nH]c(=O)c(=O)n(C[C@H](O)[C@H](O)[C@H](O)CO)c2[nH]1
1983,Furoyl-Leucine,CC(C)CC(NC(=O)c1ccco1)C(=O)O
1984,S-Methylcysteine,CSCC(N)C(=O)O
1985,Dpb-T,Cc1cn([C@@H]2C[C@@H]3O[C@@](c4ccccc4)(P(=O)(O)O)OC[C@@H]3O2)c(=O)[nH]c1=O
1986,"N-[4-hydroxymethyl-cyclohexan-6-yl-1,2,3-triol]-4,6-dideoxy-4-aminoglucopyranoside",C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
1987,3-(cyclohexylamino)propanesulfonic acid,O=S(=O)(O)CCCNC1CCCCC1
1988,AL7089A,CN[C@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
1989,"4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide",NS(=O)(=O)c1ccc(C(=O)NCc2c(F)cc(F)cc2F)cc1
1990,"2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine",C[C@@H](Cn1cnc2c(N)nc(N)nc21)OCP(=O)(O)O
1993,"1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine",CCCCC(=O)OC[C@H](COP(=S)([S-])OCC[N+](C)(C)C)OC(=O)CCCC
1995,"4,5-Dihydroxy-Tetrahydro-Pyran-2-Carboxylic Acid",O=C(O)C1CC(O)C(O)CO1
1996,2-deoxy-2-fluoro-β-D-galactose,OC[C@H]1O[C@@H](O)[C@H](F)[C@@H](O)[C@H]1O
1997,5'-O-[(L-methionyl)-sulphamoyl]adenosine,CSCCC(N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
1998,Immucillin-G,Nc1nc(=O)c2[nH]cc([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
2000,6-hydroxy-D-norleucine,NC(CCCCO)C(=O)O
2001,S-Ethylisothiourea,CCSC(=N)N
2002,L-methionine (R)-S-oxide,C[S@@+]([O-])CCC(N)C(=O)O
2003,Glycinamide Ribonucleotide,NCC(=O)N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
2005,4-methylthio-2-oxobutanoic acid,CSCCC(=O)C(=O)O
2006,Laevulinic Acid,CC(=O)CCC(=O)O
2008,"8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",O=C1N2C=C(c3ccc(O)cc3)N=C(Cc3ccccc3)C2=NC1(Cc1ccc(O)cc1)OO
2009,Cyclohexanepropanoic acid,O=C(O)CCC1CCCCC1
2010,4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide,CCCC(C=CS(=O)(=O)c1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)N1CCC(N2CCOCC2)CC1
2011,7-Deazaguanine,Nc1nc(=O)c2cc[nH]c2[nH]1
2012,Hydrolyzed Cephalothin,CC1=C(C(=O)O)N[C@H](C(NC(=O)Cc2cccs2)C(=O)O)SC1
2013,3-Methyl-5-Sulfo-Pyrrolidine-2-Carboxylic Acid,CC1CC(S(=O)(=O)O)NC1C(=O)O
2014,2-Ethoxyethanol,CCOCCO
2015,O-Succinylbenzoate,O=C(O)CCC(=O)c1ccccc1C(=O)O
2016,Iodobenzene,Ic1ccccc1
2017,"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-Hydroxy-3,7,12,16-Tetramethylheptadeca-1,3,5,7,9,11,13,15-Octaen-1-Yl]-3,5,5-Trimethylcyclohex-3-En-1-Ol",CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C=C\C=C(C)/C=C/C=C(\C)CO)C(C)(C)C[C@H](O)C1
2018,Trifluoro-thiamin phosphate,Cc1c(CCOP(=O)([O-])O)sc[n+]1Cc1cnc(C(F)(F)F)nc1N
2019,Ilomastat,CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(O)=NO)CC(C)C
2020,2'-Deoxyuridine,O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
2021,N-Bromoacetyl-Aminoethyl Phosphate,O=C(CBr)NCCOP(=O)(O)O
2022,SR11254,CC1(C)CCC(C)(C)c2cc(C(=NO)c3ccc4cc(C(=O)O)ccc4c3)ccc21
2023,"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide",CCc1oc2cc(S(=O)(=O)Nc3ccc(S(N)(=O)=O)cc3)ccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
2024,4-Oxosebacic Acid,O=C(O)CCCCCC(=O)CCC(=O)O
2026,Orotic acid,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
2027,D-glyceraldehyde 3-phosphate,O=C(CO)COP(=O)(O)O
2028,O2-Sulfo-Glucuronic Acid,O=CC(OS(=O)(=O)O)C(O)C(O)C(O)C(=O)O
2029,Ethyl-Trimethyl-Silane,CC[Si](C)(C)C
2030,Flufenamic acid,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
2031,Argininosuccinate,N=C(N)NCCCC(NC(CC(=O)O)C(=O)O)C(=O)O
2032,4-(Acetylamino)-3-Amino Benzoic Acid,CC(=O)Nc1ccc(C(=O)O)cc1N
2034,Dimethylallyl S-Thiolodiphosphate,CC(C)CCSP(=O)(O)OP(=O)(O)O
2036,Porphobilinogen,NCc1[nH]cc(CCC(=O)O)c1CC(=O)O
2037,"2,6-Dimethyl-7-Octen-2-Ol",C=CC(C)CCCC(C)(C)O
2038,7-Keto-8-Aminopelargonic Acid,CC(N)C(=O)CCCCCC(=O)O
2039,"[2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde",NCc1nc(Cc2ccc(O)cc2)c(O)n1CC=O
2040,(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide,CCCCC(OP(=O)(O)O)C(=O)NC(CC(C)C)C(=O)Nc1ccc([N+](=O)[O-])cc1
2041,1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1
2042,"7,8-dihydro-7,7-dimethyl-6-hydroxypterin",CC1(C)Nc2[nH]c(N)nc(=O)c2NC1=O
2043,Benzoylformic Acid,O=C(O)C(=O)c1ccccc1
2044,(R)-Mandelic acid,O=C(O)C(O)c1ccccc1
2045,Formycin,Nc1ncnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[nH]nc12
2046,5'-S-methyl-5'-thioadenosine,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
2047,2-Phenylamino-Ethanesulfonic Acid,O=S(=O)(O)CCNc1ccccc1
2048,Protoporphyrin,C=CC1c2cc3[nH]c(cc4nc(cc5[nH]c(cc(n2)C1C)c(C)c5=CCC(=O)O)=C(CCC(=O)O)C4C)c(=CC)c3=C
2049,2-amino-3-(4-amino-1H-indol-3-yl)propanoic acid,Nc1cccc2[nH]cc(CC(N)C(=O)O)c12
2050,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,N=C(N)c1ccc2[nH]c(-c3ccccc3O)nc2c1
2051,CRA-9334,Cc1cc(Br)c(O)c(-c2nc3cc(C(=N)N)ccc3[nH]2)c1
2052,2-Aminopropanedioic Acid,NC(C(=O)O)C(=O)O
2054,Irosustat,NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3
2056,"(5R,6S,7S,8S)-5-hydroxymethyl-6,7,8-trihydroxy-tetrazolo[1,5-A]piperidine",OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)c2nnnn21
2057,"N-[3-(Dimethylamino)Propyl]-2-({[4-({[4-(Formylamino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-5-Isopropyl-1,3-Thiazole-4-Carboxamide",CC(C)c1sc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)nc1C(=O)NCCCN(C)C
2058,Isoamyl alcohol,CC(C)CCO
2059,2-Amino-6-Chloropyrazine,Nc1cncc(Cl)n1
2060,5-Hydroxyamino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,CC1CC(NO)NC1C(=O)O
2061,Arginineamide,N=C(N)NCCCC(N)C(N)=O
2062,Calcipotriol,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
2063,"5,10-Methylene-6-Hydrofolic Acid",Nc1nc(=O)c2c([nH]1)N=CC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21
2064,Symmetric dimethylarginine,CN=C(NC)NCCCC(N)C(=O)O
2065,"(5S)-5-Iododihydro-2,4(1H,3H)-pyrimidinedione",O=C1NCC(I)C(=O)N1
2066,Prostaglandin B2,CCCCC[C@H](O)C=CC1=C(CC=CCCCC(=O)O)C(=O)CC1
2067,"4,5-Dehydro-D-Glucuronic Acid",O=C(O)C1=C[C@H](O)[C@@H](O)CO1
2069,N-(1-carboxy-3-phenylpropyl)phenylalanyl-alpha-asparagine,NC(=O)C(CC(=O)O)NC(=O)C(Cc1ccccc1)NC(CCc1ccccc1)C(=O)O
2070,"4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium",NCCCCOB1OCCO1
2071,5-monophosphate-9-beta-D-ribofuranosyl xanthine,O=c1[nH]c(=O)c2[nH]c[n+]([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1
2072,"3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium",Cc1cc2c(C)c(C)c3nc(C)ccc3c2[n+](C)c1
2073,Methyl Methylsulfinylmethyl Sulfide,CSC[S+](C)[O-]
2074,beta-D-galactose 6-phosphate,O=P(O)(O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
2075,"Ethyl (4R)-4-{[(2R,5S)-2-(4-fluorobenzyl)-6-methyl-5-{[(5-methyl-1,2-oxazol-3-yl)carbonyl]amino}-4-oxoheptanoyl]amino}-5-[(3S)-2-oxo-3-pyrrolidinyl]pentanoate",CCOC(=O)CC[C@H](CC1CCNC1=O)NC(=O)C(CC(=O)C(NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1
2077,Cyclic GMP,Nc1nc(=O)c2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O)c2[nH]1
2078,"1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid",O=C(O)CCCCCn1c(C(=O)O)cc2cc(OCc3c(Cl)cccc3Cl)ccc21
2079,Alpha-D-Galactose-1-Phosphate,O=P(O)(O)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
2080,2-deoxy-2-fluoro-alpha-D-mannosyl fluoride,OC[C@H]1O[C@H](F)[C@@H](F)[C@@H](O)[C@@H]1O
2082,N-beta-D-glucopyranosylacetamide,CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
2083,"5-(3-Amino-4,4-Dihyroxy-Butylsulfanylmethyl)-Tetrahydro-Furan-2,3,4-Triol",NC(CCSC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O)C(=O)O
2086,5-Iodo-2'-Deoxyuridine-5'-Monophosphate,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1I
2087,Isopropyl alcohol,CC(C)O
2088,1-Hydroxyamine-2-Isobutylmalonic Acid,CC(C)CC(C(=O)O)C(O)=NO
2089,Triethylene glycol,OCCOCCOCCO
2090,2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid,Cc1ncc(COP(=O)(O)O)c(CN=C(C=CCP(=O)(O)O)C(=O)O)c1O
2095,(R)-2-Hydroxy-3-Sulfopropanoic Acid,O=C(O)C(O)CS(=O)(=O)O
2096,2-Aminothiazoline,NC1=[SH]CCN1
2098,S-(D-Carboxybutyl)-L-Homocysteine,NC(CCSCCCCC(=O)O)C(=O)O
2100,Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin,C=CCN(C)CCCCCCOc1ccc2c(-c3ccc(Br)cc3)coc2c1
2101,N-Acetyl-Serine,CC(=O)NC(CO)C(=O)O
2102,"Mdl 101,146",CC(C)C(NC(=O)c1ccc(C(=O)N2CCOCC2)cc1)C(=O)N1CCCC1C(=O)NC(C(=O)C(F)(F)C(F)(F)F)C(C)C
2103,2-Methoxyestradiol,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
2104,"3,6,9,12,15-Pentaoxaheptadecane",CCOCCOCCOCCOCCOCC
2105,Selenocysteine,NC(C[SeH])C(=O)O
2107,2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid,CC(C)(C)c1onc(OCP(=O)(O)O)c1CC(N)C(=O)O
2108,Monofluorophosphate ion,O=P(O)(O)F
2110,"N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide",COc1ccc(S(=O)(=O)N2CCCSC(C)(C)C2C(O)=NO)cc1
2113,4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine,Cc1nc2ccccc2n1Cc1ccc2c(c1)nc(CNc1ccc(C(=N)N)cc1)n2C
2115,4-Imidazolmethylene-5-Imidazolone Chromophore,N[C@@H](CO)[C@H]1N=C(Cc2c[nH]cn2)C(=O)N1CC(=O)O
2117,LY374571,Nc1nc(=O)c(N)c(NC(=O)Nc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)[nH]1
2118,"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine",CCCCn1c(Cc2cc(OC)ccc2OC)nc2c(N)ncnc21
2119,Bis-Napthyl Beta-Ketophosphonic Acid,O=C(c1ccc2ccccc2c1)C(c1cccc2ccccc12)P(=O)(O)O
2120,S-Methyl Thiocysteine Group,CSSCC(N)C(=O)O
2121,Aminobenzoic acid,Nc1ccccc1C(=O)O
2123,2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid,CCOP(=O)(OCC)OCC(N)C(=O)O
2124,"1,10-Phenanthroline",c1cnc2c(c1)ccc1cccnc12
2126,(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,CCCCOc1ccc(S(=O)(=O)N2C[C@@H](NS(C)(=O)=O)CC2C(O)=NO)cc1
2127,N-Acetyl-L-Citrulline,CC(=O)NC(CCCNC(N)=O)C(=O)O
2128,"3-Aza-2,3-Dihydrogeranyl Diphosphate",CC(C)=CCCN(C)CCOP(=O)(O)OP(=O)(O)O
2129,Nz-(1-Carboxyethyl)-Lysine,CC(NCCCCC(N)C(=O)O)C(=O)O
2130,"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",O=S(=O)(O)CCNC(CO)(CO)CO
2131,"2,5-Dimethylpyrimidin-4-Amine",Cc1ncc(C)c(N)n1
2132,Adenosine monotungstate,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@H](O)[C@H]1O
2133,Xylose-Derived Imidazole,O[C@H]1[C@H](O)Cn2ccnc2[C@@H]1O
2135,"D-gluconhydroximo-1,5-lactam",OC[C@H]1NC(=NO)[C@H](O)[C@@H](O)[C@@H]1O
2136,Guanine,Nc1nc(=O)c2[nH]cnc2[nH]1
2138,Beta-D-Glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
2139,Deoxyinosine,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
2140,nor-NOHA,NC(=NO)NCCC(N)C(=O)O
2141,Namn,O=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c1
2142,Tolrestat,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
2143,(E)-2-Fluoro-P-Hydroxycinnamate,O=C(O)C(F)=Cc1ccc(O)cc1
2144,D-threo-neopterin,Nc1nc(=O)c2nc([C@@H](O)[C@H](O)CO)cnc2[nH]1
2145,Leucine Phosphonic Acid,CC(C)CC(N)C(=O)O
2148,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One",Nc1nc(=O)c2c(ncn2CCNC(CO)CO)[nH]1
2149,"D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate",O=P(O)(O)C[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
2150,Oxiranpseudoglucose,OC[C@@]12O[C@@H]1C[C@H](O)[C@@H](O)[C@@H]2O
2151,"3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol",Cn1c(C=CCO)c(CO)c2c(O)c(N3CC3)cc(O)c21
2152,Methylethylamine,CCNC
2153,O-(N-acetyl-alpha-D-galactosaminyl)-L-serine,CC(=O)N[C@H]1[C@@H](OCC(N)C(=O)O)O[C@H](CO)[C@H](O)[C@@H]1O
2154,6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine,N=C(N)c1ccc2cc(C(=O)Nc3ccc(CN)cc3)ccc2c1
2155,L-Rhamnitol,C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO
2157,"4-Hydroxy-1,2,5-oxadiazole-3-carboxylic acid",O=C(O)c1no[nH]c1=O
2158,"5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine",COc1ccc(Oc2cccc3nc(N)nc(N)c23)cc1
2159,2-Fluoroaniline,Nc1ccccc1F
2160,1-Deoxy-1-Thio-Heptaethylene Glycol,OCCOCCOCCOCCOCCOCCOCCS
2161,12-Bromododecanoic Acid,O=C(O)CCCCCCCCCCCBr
2162,N-Valeric Acid,CCCCC(=O)O
2163,6-O-Cyclohexylmethyl Guanine,Nc1nc(OCC2CCCCC2)c2[nH]cnc2n1
2164,"(3s)-3-Amino-1-(Cyclopropylamino)Heptane-2,2-Diol",CCCC[C@H](N)C(O)(O)CNC1CC1
2165,"(1r,4s)-2-Azabornane",CC1(C)[C@@H]2CC[C@@]1(C)NC2
2166,"2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide",CC(=O)c1[s+]c(CCOP(=O)(O)OP(=O)(O)O)c(C)n1Cc1cnc(C)nc1N
2167,"2-(11-{2-[Benzenesulfonyl-(3-Methyl-Butyl)-Amino]-1-Hydroxy-Ethyl}-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-8-Yl)-Acetamide, Inhibitor 2",CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCC(=O)NC(CC(N)=O)C(=O)N1)S(=O)(=O)c1ccccc1
2168,Tetrahydropyran,C1CCOCC1
2169,Hydroxyethylcysteine,O=C(O)C(CS)NCCO
2170,Cyclo(his-pro),O=C1NC(Cc2c[nH]cn2)C(=O)N2CCCCC12
2171,N-Octyl-2-Hydroxyethyl Sulfoxide,CCCCCCCC[S@@+]([O-])CCO
2172,"2-Ribofuranosyl-3-Iodo-2,3-Dihydro-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",Nc1ncnc2c1C(I)N(C1O[C@H](CO)[C@@H](O)[C@H]1O)N2
2173,"2,4,6-Tribromophenol",Oc1c(Br)cc(Br)cc1Br
2174,"(R,R)-2,3-Butanediol",C[C@@H](O)[C@@H](C)O
2175,Ethyl Oxo(Piperidin-1-Yl)Acetate,CCOC(=O)C(=O)N1CCCCC1
2176,"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",NCc1ccc(NC(=O)C(=O)O)cc1
2177,Uridine-5'-diphosphate-mannose,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
2179,Thiopyrophosphate,O=P(O)(O)OP(O)(O)=S
2180,Geldanamycin,COc1c(O)cc2c(O)c1C=C(C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)C=CC=C(C)C(=O)N2
2181,Hexadecyl Octanoate,CCCCCCCCCCCCCCCCOC(=O)CCCCCCC
2183,"2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline",COc1ccc(OC)c(CN(C)c2ccc3nc(N)nc(N)c3c2)c1
2184,Quinaldic Acid,O=C(O)c1ccc2ccccc2n1
2185,4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide,NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)cc2)cc1
2188,RU90395,COC(=O)c1cc(CC(NC(C)=O)C(=O)NC2CCCCN(Cc3ccc(-c4ccccc4)cc3)C2=O)ccc1C(F)(C(=O)O)C(=O)O
2189,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid",O=P(O)(O)CN(CC(O)O)CC(O)C(O)C(O)C(O)COP(=O)(O)O
2190,4-(2-Thienyl)Butyric Acid,O=C(O)CCCc1cccs1
2191,Aminomethylcyclohexane,NCC1CCCCC1
2193,(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid,N[C@@H](CO)CCCCNC(=O)O
2194,3-O-Methylfructose in Linear Form,COC(C(=O)CO)[C@H](O)[C@H](O)CO
2195,"2-Butyl-5,6-Dihydro-1h-Imidazo[4,5-D]Pyridazine-4,7-Dione",CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1
2196,Dioxyselenocysteine,NC(C[SeH](=O)=O)C(=O)O
2197,Methicillin Acyl-Serine,COc1cccc(OC)c1C(=O)NC(C(=O)OCC(N)C(=O)O)[C@@H]1NC(C(=O)O)C(C)(C)S1
2198,2-Deoxy-2-Amino Glucitol-6-Phosphate,N[C@@H](CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
2199,Glutamine hydroxamate,NC(=O)CCC(N)C(O)=NO
2200,"3,8,9,10-tetrahydroxy-7-hydroxymethyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione",O=C1NC2(OC(CO)C(O)C(O)C2O)C(=O)N1O
2201,N-Tridecanoic Acid,CCCCCCCCCCCCC(=O)O
2202,3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid,O=C(O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(N2CCC(c3ccccc3)CC2)cc1
2203,"2-Benzo[1,3]Dioxol-5-Ylmethyl-3-Benzyl-Succinic Acid",O=C(O)C(Cc1ccccc1)C(Cc1ccc2c(c1)OCO2)C(=O)O
2204,B-nonylglucoside,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
2206,Antimonous acid,O[Sb](O)O
2207,5-(6-Amino-9h-Purin-9-Yl)-4-Hydroxytetrahydrofuran-3-Yl Dihydrogen Phosphate,Nc1ncnc2c1ncn2C1OCC(OP(=O)(O)O)C1O
2209,Aracytidine 5'-monophosphate,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c(=O)n1
2210,Undecyl-Phosphinic Acid Butyl Ester,CCCCCCCCCCC[PH](=O)OCCCC
2211,"S-(2,4-dinitrophenyl)glutathione",NC(CCC(=O)NC(CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)O)C(=O)O
2212,4-guanidinobenzoic acid,N=C(N)Nc1ccc(C(=O)O)cc1
2214,S-Methyl Phosphocysteine,CSCC(NP(=O)(O)O)C(=O)O
2215,Thiocoumarin,S=c1ccc2ccccc2o1
2216,2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine,N=C(N)c1ccc2[nH]c(-c3ccccc3O)cc2c1
2217,Benzylamine,NCc1ccccc1
2218,Methoxy arachidonyl fluorophosphonate,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCOP(=O)(F)OOC
2219,BMS-181156,CC1(C)CCC(C)(C)c2cc(C(=O)/C=C/c3ccc(C(=O)O)cc3)ccc21
2220,L-methionine (S)-S-oxide,C[S@+]([O-])CCC(N)C(=O)O
2222,"4,6-dideoxy-4-amino-beta-D-glucopyranoside",C[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1N
2223,D-Glycero-D-Mannopyranose-7-Phosphate,O=P(O)(O)OC[C@@H](O)[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
